Date (YYYY-MM-DD),Map,Area,Screen
2025-01-11,Back to the Babe,Evergreen Heights,4
2025-01-12,Ghost of the Immortal Babe,Styx,1
2025-01-13,Back to the Babe,Leaning Tower of Crystoasis,8
2025-01-14,Tyrant Babe,The Tower of Invisibility,4
2025-01-15,Babe of Ascension,Larimar Mines,4
2025-01-16,Ghost of the Immortal Babe,Yggdrasil,5
2025-01-17,Ghost of the Immortal Babe,Avernus,1
2025-01-18,Ghost of the Immortal Babe,Cursed Citadel,3
2025-01-19,Back to the Babe,Skies of Helios,5
2025-01-20,Babe of Utopia,Wind of El Dorado,7
2025-01-21,Tyrant Babe,The Tower of Frozen Genesis,8
2025-01-22,Babe of the Realms,Laughterhouse,4
2025-01-23,Babe of Redemption,Tower of Dissociation,2
2025-01-24,Babe of Redemption,Neon Grid World,3
2025-01-25,Babe of Ascension,Fallen Temple,3
2025-01-26,Babe of Dimension+,The Mire of Ecstasy,7
2025-01-27,Back to the Babe,Nostalgic Ruin,2
2025-01-28,Babe of the Realms,Laughterhouse,1
2025-01-29,Babe of Ascension,Fallen Temple,3
2025-01-30,Babe of Dimension+,2Bit Pillars,9
2025-01-31,Waterfall Babe,Psychedelic Ruin,2
2025-02-01,Babe of Transcension,Divine Sanctuary,4
2025-02-02,Immortal Babe,False Kings’ Tomb,2
2025-02-03,Super Jing World,World 4: Ross Rock Desert,7
2025-02-04,Babe of Memories,Tinycrown Woods,4
2025-02-05,Babe of Transcension,222f,7
2025-02-06,Tyrant Babe,Painted Worlds,2
2025-02-07,Back to the Babe,The Northern Ridge,3
2025-02-08,Immortal Babe+,The Unshown,2
2025-02-09,Babe of Memories,The Tower of Symmetry,6
2025-02-10,Ghost of the Immortal Babe,The Olymp,8
2025-02-11,Tyrant Babe,Ecstatic Dream,5
2025-02-12,Waterfall Babe,Interior: The Noir,7
2025-02-13,Babe of Redemption,Chemical Powerplant,6
2025-02-14,Back to the Babe,Derelict Museum,5
2025-02-15,Ghost of the Immortal Babe,The Olymp,7
2025-02-16,Babe of the Realms,Solar Limbo,7
2025-02-17,Babe of Transcension,Keep of the Transcendents,1
2025-02-18,Waterfall Babe,The Waterfall,3
2025-02-19,Babe of Dimension,Magnetic Skyscraper,1
2025-02-20,Babe of Memories,End of your Memories,3
2025-02-21,Babe of Memories,Antique Ruin,6
2025-02-22,Babe of Transcension,Divine Sanctuary,2
2025-02-23,Babe of Utopia,Wind of El Dorado,1
2025-02-24,Immortal Babe+,Weaver’s Nest,5
2025-02-25,Babe of Ascension,Lofty Empire,5
2025-02-26,Waterfall Babe,Castle of Time,1
2025-02-27,Babe of Redemption,Tower of Dissociation,11
2025-02-28,Waterfall Babe,The Construction Tower (Water Variation),2
2025-03-01,Babe of Dimension+,The Mire of Ecstasy,2
2025-03-02,Immortal Babe,Tower of Tartarus,5
2025-03-03,Babe of Exile,Heavenly Hurdle,2
2025-03-04,Tyrant Babe,111f,1
2025-03-05,Back to the Babe,Derelict Museum,1
2025-03-06,Babe of Dimension+,Serene Frontier,7
2025-03-07,Babe of Utopia,Wind of El Dorado,5
2025-03-08,Babe of Inferno,Seedbed,1
2025-03-09,Back to the Babe,Aperture Laboratories,8
2025-03-10,Tyrant Babe,Ecstatic Dream,1
2025-03-11,Babe of Utopia,The Back Side of Elysion,6
2025-03-12,Immortal Babe+,Deserted Ruin,1
2025-03-13,Waterfall Babe,Cave System,1
2025-03-14,Babe of Inferno,Mysterious Power Rains,3
2025-03-15,Super Jing World,World 5: Ogre Base,2
2025-03-16,Babe of Dimension,The Haunted Tower,4
2025-03-17,Babe of Dimension+,Last Dimension,8
2025-03-18,Back to the Babe,Tap To Add Text,7
2025-03-19,Waterfall Babe,Surveilance Breach,5
2025-03-20,Waterfall Babe,Moonlight Mansion,3
2025-03-21,Babe of Dimension+,Invaded Galaxy,2
2025-03-22,Babe of the Heavens,The Tower of Babel,4
2025-03-23,Super Jing World,World 0: Nest .5,7
2025-03-24,Babe of Utopia,Burned Eden,5
2025-03-25,Immortal Babe,Crimson Rupture,3
2025-03-26,Babe of Utopia,The Back Side of Elysion,6
2025-03-27,Babe of Utopia,Burned Eden,3
2025-03-28,Babe of Exile,Ashen Abbey,2
2025-03-29,Babe of Utopia,Shade of Xanadu,2
2025-03-30,Ghost of the Immortal Babe,Sodom,3
2025-03-31,Waterfall Babe,Psychedelic Ruin,3
2025-04-01,Babe of Redemption,Needle Void,2
2025-04-02,Babe of Inferno,The Tower of Inferno,5
2025-04-03,Babe of Dimension+,The Tower of Ray,6
2025-04-04,Babe of Redemption,Neon Grid World,3
2025-04-05,Waterfall Babe,Fabricated Depths,1
2025-04-06,Babe of the Realms,Uhh… Bloody Hell,2
2025-04-07,Waterfall Babe,Surveilance Breach,3
2025-04-08,Babe of Utopia,Shade of Xanadu,7
2025-04-09,Immortal Babe,Lost Sanctum,2
2025-04-10,Babe of the Realms,Basalt Pinnacle,5
2025-04-11,Babe of Fate,Shrine of Tears,7
2025-04-12,Babe of Memories,End of your Memories,4
2025-04-13,Babe of the Heavens,Misty Woods,4
2025-04-14,Ghost of the Immortal Babe,Yggdrasil,2
2025-04-15,Babe of Dimension+,The Chaos,5
2025-04-16,Babe of Dimension+,Forsaken Interceptor,1
2025-04-17,Babe of Inferno,Seedbed,5
2025-04-18,Babe of Dimension,Ashen Catacomb,3
2025-04-19,Babe of the Heavens,Cloudtops,6
2025-04-20,Babe of Dimension,Ashen Catacomb,1
2025-04-21,Sisters of Space,Rigid Airships,7
2025-04-22,Babe of Dimension+,Rule of Aeolus,4
2025-04-23,Babe of Dimension+,Invaded Galaxy,3
2025-04-24,Babe of Exile,Domestic Downpour,5
2025-04-25,Babe of Transcension,Consequences of Destruction,5
2025-04-26,Immortal Babe,The Unknown,2
2025-04-27,Babe of Ascension,Lofty Empire,1
2025-04-28,Babe of Inferno,Gorge,1
2025-04-29,Babe of Redemption,Neon Fractal World,3
2025-04-30,Immortal Babe+,Mime Rift,3
2025-05-01,Babe of Exile,Foreboding Fog,1
2025-05-02,Babe of Dimension+,Serene Frontier,7
2025-05-03,Back to the Babe,Event Horizon,1
2025-05-04,Babe of Utopia,Reversed Avalon,6
2025-05-05,Immortal Babe+,Descending Disruption,3
2025-05-06,Waterfall Babe,Crystal Den,7
2025-05-07,Immortal Babe+,The Unshown,3
2025-05-08,Immortal Babe+,Weaver’s Nest,1
2025-05-09,Waterfall Babe,The Tower of Recollection,8
2025-05-10,Waterfall Babe,Cave System,1
2025-05-11,Babe of Transcension,222f,2
2025-05-12,Ghost of the Immortal Babe,The Olymp,8
2025-05-13,Babe of Utopia,Utopia,1
2025-05-14,Waterfall Babe,Fabricated Depths,2
2025-05-15,Babe of Inferno,Stalactite Cave,8
2025-05-16,Babe of Transcension,Keep of the Transcendents,1
2025-05-17,Babe of Inferno,Seedbed,3
2025-05-18,Babe of Exile,Enigmatic Escalators,5
2025-05-19,Immortal Babe+,Weaver’s Nest,3
2025-05-20,Babe of the Realms,Solar Limbo,5
2025-05-21,Babe of Transcension,Windy Garden,3
2025-05-22,Babe of Exile,Transcended Tower,1
2025-05-23,Waterfall Babe,The Tower of Recollection,2
2025-05-24,Babe of the Realms,Laughterhouse,1
2025-05-25,Babe of Utopia,Burned Eden,3
2025-05-26,Super Jing World,World 6: Journey’s End,7
2025-05-27,Babe of the Heavens,Heavenly Ruin,6
2025-05-28,Babe of Ascension,Deadcrown Woods,4
2025-05-29,Babe of Dimension,Another Dimension,2
2025-05-30,Tyrant Babe,Disconnected Ruin,6
2025-05-31,Babe of Dimension,Magnetic Skyscraper,3
2025-06-01,Babe of Dimension+,The True Tower of Light,4
2025-06-02,Babe of Memories,Colossal Cube,1
2025-06-03,Immortal Babe+,Frost Sanctum,5
2025-06-04,Babe of Transcension,Bright Grass,6
2025-06-05,Babe of Utopia,Distorted Elysion,5
2025-06-06,Tyrant Babe,Brisk Frontier,6
2025-06-07,Babe of Dimension,Another Dimension,6
2025-06-08,Babe of Memories,Antique Ruin,5
2025-06-09,Waterfall Babe,The Tower of Recollection,5
2025-06-10,Babe of Ascension,Deadcrown Woods,1
2025-06-11,Babe of Transcension,The Tower of Interception,12
2025-06-12,Babe of Transcension,The Timeless Temple,1
2025-06-13,Babe of Inferno,Seedbed,6
2025-06-14,Immortal Babe,Lost Sanctum,6
2025-06-15,Babe of Utopia,Dark Atlantis,1
2025-06-16,Babe of Redemption,Chemical Powerplant,6
2025-06-17,Babe of Redemption,Tower of Dissociation,10
2025-06-18,Babe of Dimension+,Ashen Dungeon,4
2025-06-19,Back to the Babe,Derelict Museum,4
2025-06-20,Babe of Dimension,Reverse Dimension,2
2025-06-21,Babe of Inferno,Secret of Rinfone,10
2025-06-22,Babe of Exile,Luminous Lair,5
2025-06-23,Babe of the Heavens,Lost Fortress,2
2025-06-24,Babe of the Heavens,Limbo,6
2025-06-25,Babe of Transcension,The Tower of Interception,10
2025-06-26,Babe of Redemption,Control Matrix,6
2025-06-27,Babe of the Realms,Esoteric Chasm,1
2025-06-28,Sisters of Space,Space Debris,7
2025-06-29,Babe of Transcension,Divine Sanctuary,2
2025-06-30,Babe of Exile,Infinite Incline,8
2025-07-01,Tyrant Babe,111f,5
2025-07-02,Babe of the Heavens,Heavenly Ruin,4
2025-07-03,Babe of Utopia,Frozen Valhalla,1
2025-07-04,Babe of Transcension,Windy Garden,2
2025-07-05,Babe of Transcension,222f,1
2025-07-06,Waterfall Babe,The Construction Tower (Water Variation),5
2025-07-07,Sisters of Space,Colossal Jungle,9
2025-07-08,Babe of Exile,Luminous Lair,1
2025-07-09,Babe of Dimension,The Tower of Light,3
2025-07-10,Waterfall Babe,Lavender Hall,2
2025-07-11,Babe of Utopia,Burned Eden,5
2025-07-12,Babe of Dimension,The Mire of Greed,8
2025-07-13,Babe of the Heavens,Cloudtops,4
2025-07-14,Babe of Ascension,The Well,3
2025-07-15,Babe of the Realms,Barren Ether,2
2025-07-16,Immortal Babe,Crimson Rupture,5
2025-07-17,Babe of the Realms,Laughterhouse,4
2025-07-18,Babe of Dimension+,Serene Frontier,7
2025-07-19,Babe of Fate,Silent Realm,3
2025-07-20,Babe of Inferno,Seedbed,3
2025-07-21,Babe of Utopia,The Tower of Lost Paradise,10
2025-07-22,Immortal Babe,Desert Ruins,6
2025-07-23,Babe of Memories,Yummyburg,2
2025-07-24,Immortal Babe+,Frost Sanctum,7
2025-07-25,Babe of Exile,Subspace Spire Two,3
2025-07-26,Babe of Redemption,I Didn’t Feel Like Making Anything in This Room,1
2025-07-27,Babe of Transcension,Keep of the Transcendents,2
2025-07-28,Babe of Dimension+,Last Dimension,5
2025-07-29,Babe of Inferno,The Spider Thread,6
2025-07-30,Babe of Dimension+,The Tower of Ray,3
2025-07-31,Babe of Transcension,Glittering Cave,5
2025-08-01,Babe of Exile,Krill Kingdom,5
2025-08-02,Babe of Exile,Foreboding Fog,4
2025-08-03,Super Jing World,World 1: From the Top!,7
2025-08-04,Babe of Dimension,Ashen Catacomb,4
2025-08-05,Babe of Exile,Domestic Downpour,5
2025-08-06,Waterfall Babe,Psychedelic Ruin,3
2025-08-07,Babe of Fate,Cold Pit,1
2025-08-08,Babe of the Realms,Chemical Fortress,5
2025-08-09,Ghost of the Immortal Babe,Cursed Citadel,2
2025-08-10,Babe of Memories,Eternal Frontier,1
2025-08-11,Immortal Babe,Time Rift,1
2025-08-12,Babe of Transcension,Swamp of Solitude,1
2025-08-13,Babe of Ascension,The Retro Tower,4
2025-08-14,Babe of Fate,Cold Pit,2
2025-08-15,Babe of Dimension,The Mire of Greed,3
2025-08-16,Babe of Utopia,Distorted Elysion,6
2025-08-17,Babe of the Realms,Solar Limbo,3
2025-08-18,Babe of Utopia,Frozen Valhalla,8
2025-08-19,Babe of Inferno,The Spider Thread,1
2025-08-20,Babe of Ascension,Palace of Mirrors,1
2025-08-21,Babe of the Realms,The Real Void,9
2025-08-22,Babe of Memories,Tinycrown Woods,1
2025-08-23,Babe of Fate,Stellar Corridor,7
2025-08-24,Sisters of Space,Colossal Jungle,2
2025-08-25,Babe of the Heavens,The Tower of Babel,6
2025-08-26,Babe of Redemption,Containment Breach,7
2025-08-27,Babe of Ascension,Fallen Temple,1
2025-08-28,Babe of Ascension,Lofty Empire,3
2025-08-29,Babe of Utopia,Wind of El Dorado,6
2025-08-30,Babe of Fate,Cybernetic Metropolis,2
2025-08-31,Immortal Babe,Time Rift,1
2025-09-01,Babe of the Realms,KZ_Null,7
2025-09-02,Babe of Transcension,Luminescent Darkness,5
2025-09-03,Babe of Dimension,Reverse Dimension,8
2025-09-04,Babe of Dimension+,The True Tower of Light,11
2025-09-05,Tyrant Babe,Disconnected Ruin,1
2025-09-06,Babe of Exile,Gooey Grotto,4
2025-09-07,Babe of Exile,Subspace Spire Three,6
2025-09-08,Babe of Fate,Stellar Corridor,2
2025-09-09,Immortal Babe+,Abaddon’s Heights,3
2025-09-10,Super Jing World,World 3: Phoenixx Mountain,4
2025-09-11,Babe of Utopia,The Tower of Lost Paradise,7
2025-09-12,Back to the Babe,Good Job,1
2025-09-13,Babe of Dimension,The Haunted Tower,4
2025-09-14,Babe of Ascension,Lofty Empire,4
2025-09-15,Back to the Babe,The Trench,5
2025-09-16,Babe of Exile,Subspace Spire Three,4
2025-09-17,Immortal Babe+,Tower of Darkness,8
2025-09-18,Waterfall Babe,Interior: The Noir,8
2025-09-19,Tyrant Babe,The Tower of Frozen Genesis,7
2025-09-20,Babe of Utopia,Burned Eden,3
2025-09-21,Babe of Memories,Tinycrown Woods,3
2025-09-22,Babe of Exile,Nostalgic Nexus,1
2025-09-23,Babe of Memories,Eternal Frontier,6
2025-09-24,Immortal Babe+,Abaddon’s Heights,5
2025-09-25,Babe of the Realms,Barren Ether,5
2025-09-26,Babe of Utopia,The Back Side of Elysion,6
2025-09-27,Babe of the Heavens,Misty Woods,3
2025-09-28,Babe of Memories,Antique Ruin,7
2025-09-29,Immortal Babe,Tower of Tartarus,1
2025-09-30,Babe of Dimension,Digital Frontier,7
2025-10-01,Babe of Dimension,Fury of Vulcanus,4
2025-10-02,Babe of Inferno,Mysterious Power Rains,7
2025-10-03,Babe of Inferno,Doodlebug,1
2025-10-04,Babe of Utopia,Frozen Valhalla,5
2025-10-05,Waterfall Babe,The Construction Tower (Water Variation),9
2025-10-06,Immortal Babe+,Frost Sanctum,5
2025-10-07,Babe of Exile,Subspace Spire Three,6
2025-10-08,Babe of Transcension,[Babe] 2,4
2025-10-09,Babe of the Heavens,Misty Woods,7
2025-10-10,Waterfall Babe,Lavender Hall,4
2025-10-11,Babe of the Heavens,Lost Fortress,6
2025-10-12,Ghost of the Immortal Babe,Ghost Tower,9
2025-10-13,Babe of the Realms,Infe-Station,7
2025-10-14,Back to the Babe,Lonely Cabin,1
2025-10-15,Babe of Transcension,Ethereal Horizon,3
2025-10-16,Babe of Memories,Our Memories,7
2025-10-17,Babe of Redemption,Control Matrix,6
2025-10-18,Back to the Babe,The Trench,4
2025-10-19,Ghost of the Immortal Babe,Sodom,5
2025-10-20,Babe of Dimension+,2Bit Pillars,3
2025-10-21,Waterfall Babe,The Construction Tower (Water Variation),11
2025-10-22,Babe of the Realms,The Real Void,3
2025-10-23,Babe of Utopia,Frozen Valhalla,2
2025-10-24,Babe of Memories,Yummyburg,7
2025-10-25,Back to the Babe,Lonely Cabin,1
2025-10-26,Babe of Ascension,The Retro Tower,1
2025-10-27,,,
2025-10-28,,,
2025-10-29,,,
2025-10-30,,,
2025-10-31,,,
2025-11-01,,,
2025-11-02,,,
2025-11-03,,,
2025-11-04,,,
2025-11-05,,,
2025-11-06,,,
2025-11-07,,,
2025-11-08,,,
2025-11-09,,,
2025-11-10,,,
2025-11-11,,,
2025-11-12,,,
2025-11-13,,,
2025-11-14,,,
2025-11-15,,,
2025-11-16,,,
2025-11-17,,,
2025-11-18,,,
2025-11-19,,,
2025-11-20,,,
2025-11-21,,,
2025-11-22,,,
2025-11-23,,,
2025-11-24,,,
