Date (YYYY-MM-DD),Map,Area,Screen
2025-03-04,Ghost of the Babe,The Hole,1
2025-03-05,Main Babe,Stormwall Pass,3
2025-03-06,Ghost of the Babe,House of Nine Lives,6
2025-03-07,New Babe+,Deep Ruin,3
2025-03-08,New Babe+,Lost Frontier,3
2025-03-09,Ghost of the Babe,Philosophers Forest,4
2025-03-10,Ghost of the Babe,Halted Ruin,4
2025-03-11,Ghost of the Babe,Halted Ruin,8
2025-03-12,Ghost of the Babe,Philosophers Forest,4
2025-03-13,New Babe+,Dark Tower,5
2025-03-14,New Babe+,False Kings’ Castle,4
2025-03-15,Ghost of the Babe,House of Nine Lives,4
2025-03-16,New Babe+,Black Sanctum,4
2025-03-17,Ghost of the Babe,The Hole,2
2025-03-18,Ghost of the Babe,The Hole,2
2025-03-19,Main Babe,Chapel Perilous,1
2025-03-20,Main Babe,Bargainburg,1
2025-03-21,Main Babe,The Tower,4
2025-03-22,Ghost of the Babe,Moulding Manor,1
2025-03-23,Main Babe,Colossal Drain,1
2025-03-24,Main Babe,Windswept Bluff,1
2025-03-25,Main Babe,The Tower,2
2025-03-26,Ghost of the Babe,Phantom Tower,5
2025-03-27,Main Babe,Great Frontier,2
2025-03-28,Ghost of the Babe,Moulding Manor,5
2025-03-29,New Babe+,Dark Tower,2
2025-03-30,New Babe+,Colossal Dungeon,4
2025-03-31,Main Babe,Chapel Perilous,1
2025-04-01,Ghost of the Babe,Phantom Tower,8
2025-04-02,New Babe+,Dark Tower,2
2025-04-03,Main Babe,Blue Ruin,2
2025-04-04,Ghost of the Babe,The Hole,3
2025-04-05,New Babe+,Brightcrown Woods,5
2025-04-06,New Babe+,Deep Ruin,5
2025-04-07,Main Babe,Stormwall Pass,1
2025-04-08,Ghost of the Babe,Moulding Manor,3
2025-04-09,New Babe+,Black Sanctum,4
2025-04-10,New Babe+,Deep Ruin,4
2025-04-11,Ghost of the Babe,Phantom Tower,6
2025-04-12,New Babe+,Hidden Kingdom,3
2025-04-13,Ghost of the Babe,The Hole,1
2025-04-14,Main Babe,Bargainburg,3
2025-04-15,Ghost of the Babe,Bugstalk,4
2025-04-16,Main Babe,Colossal Drain,1
2025-04-17,Ghost of the Babe,Moulding Manor,7
2025-04-18,Ghost of the Babe,The Hole,1
2025-04-19,Main Babe,False Kings’ Keep,1
2025-04-20,New Babe+,Colossal Dungeon,4
2025-04-21,Ghost of the Babe,Bugstalk,3
2025-04-22,New Babe+,False Kings’ Castle,3
2025-04-23,Main Babe,Windswept Bluff,1
2025-04-24,Main Babe,Bargainburg,2
2025-04-25,New Babe+,Lost Frontier,6
2025-04-26,Main Babe,Great Frontier,2
2025-04-27,New Babe+,Lost Frontier,7
2025-04-28,Ghost of the Babe,Philosophers Forest,4
2025-04-29,Ghost of the Babe,Tower of Antumbra,1
2025-04-30,Main Babe,The Tower,4
2025-05-01,Main Babe,Blue Ruin,2
2025-05-02,Main Babe,Chapel Perilous,4
2025-05-03,Main Babe,Redcrown Woods,4
2025-05-04,Ghost of the Babe,Tower of Antumbra,3
2025-05-05,New Babe+,Dark Tower,5
2025-05-06,New Babe+,Lost Frontier,4
2025-05-07,New Babe+,Brightcrown Woods,5
2025-05-08,New Babe+,Lost Frontier,4
2025-05-09,Main Babe,The Tower,4
2025-05-10,New Babe+,Hidden Kingdom,5
2025-05-11,Main Babe,Bargainburg,4
2025-05-12,New Babe+,Imp Room,1
2025-05-13,New Babe+,Hidden Kingdom,6
2025-05-14,Main Babe,Stormwall Pass,2
2025-05-15,New Babe+,Brightcrown Woods,6
2025-05-16,Ghost of the Babe,Moulding Manor,8
2025-05-17,Main Babe,Blue Ruin,1
2025-05-18,Main Babe,Great Frontier,3
2025-05-19,Ghost of the Babe,Halted Ruin,3
2025-05-20,Main Babe,Redcrown Woods,4
2025-05-21,New Babe+,Underburg,2
2025-05-22,Ghost of the Babe,Philosophers Forest,2
2025-05-23,New Babe+,Brightcrown Woods,3
2025-05-24,Main Babe,Great Frontier,3
2025-05-25,New Babe+,Colossal Dungeon,1
2025-05-26,Main Babe,The Tower,4
2025-05-27,Ghost of the Babe,House of Nine Lives,7
2025-05-28,Main Babe,False Kings’ Keep,3
2025-05-29,Ghost of the Babe,Phantom Tower,8
2025-05-30,New Babe+,Brightcrown Woods,1
2025-05-31,New Babe+,False Kings’ Castle,1
2025-06-01,New Babe+,Imp Room,1
2025-06-02,New Babe+,Colossal Dungeon,7
2025-06-03,Main Babe,Blue Ruin,1
2025-06-04,Main Babe,Blue Ruin,2
2025-06-05,Main Babe,Great Frontier,4
2025-06-06,Ghost of the Babe,Bog,1
2025-06-07,New Babe+,Deep Ruin,1
2025-06-08,New Babe+,Colossal Dungeon,3
2025-06-09,Ghost of the Babe,Phantom Tower,6
2025-06-10,Main Babe,Chapel Perilous,3
2025-06-11,Main Babe,Redcrown Woods,1
2025-06-12,Ghost of the Babe,Bugstalk,6
2025-06-13,Ghost of the Babe,Tower of Antumbra,3
2025-06-14,New Babe+,Black Sanctum,5
2025-06-15,Ghost of the Babe,The Hole,2
2025-06-16,Ghost of the Babe,Phantom Tower,1
2025-06-17,Main Babe,False Kings’ Keep,4
2025-06-18,Main Babe,False Kings’ Keep,3
2025-06-19,Main Babe,Stormwall Pass,5
2025-06-20,Main Babe,Bargainburg,5
2025-06-21,Main Babe,Colossal Drain,2
2025-06-22,Main Babe,The Tower,3
2025-06-23,New Babe+,Hidden Kingdom,1
2025-06-24,Ghost of the Babe,Philosophers Forest,2
2025-06-25,Ghost of the Babe,Philosophers Forest,5
2025-06-26,Main Babe,Stormwall Pass,3
2025-06-27,New Babe+,Dark Tower,1
2025-06-28,Main Babe,Colossal Drain,2
2025-06-29,Ghost of the Babe,Phantom Tower,6
2025-06-30,Ghost of the Babe,The Hole,3
2025-07-01,New Babe+,Dark Tower,1
2025-07-02,New Babe+,Deep Ruin,4
2025-07-03,New Babe+,Black Sanctum,6
2025-07-04,New Babe+,Colossal Dungeon,1
2025-07-05,Ghost of the Babe,House of Nine Lives,4
2025-07-06,New Babe+,Imp Room,1
2025-07-07,New Babe+,Dark Tower,3
2025-07-08,Main Babe,Windswept Bluff,1
2025-07-09,Ghost of the Babe,Halted Ruin,7
2025-07-10,Ghost of the Babe,Philosophers Forest,2
2025-07-11,New Babe+,Colossal Dungeon,6
2025-07-12,Ghost of the Babe,Halted Ruin,1
2025-07-13,Main Babe,Windswept Bluff,1
2025-07-14,Ghost of the Babe,Halted Ruin,2
2025-07-15,Main Babe,Colossal Drain,4
2025-07-16,New Babe+,Brightcrown Woods,3
2025-07-17,Main Babe,Bargainburg,1
2025-07-18,Main Babe,Redcrown Woods,2
2025-07-19,Ghost of the Babe,Moulding Manor,5
2025-07-20,Ghost of the Babe,Tower of Antumbra,6
2025-07-21,New Babe+,Deep Ruin,4
2025-07-22,Ghost of the Babe,Moulding Manor,3
2025-07-23,Main Babe,Colossal Drain,5
2025-07-24,Main Babe,Chapel Perilous,1
2025-07-25,Ghost of the Babe,Bugstalk,3
2025-07-26,Main Babe,Chapel Perilous,4
2025-07-27,Ghost of the Babe,The Hole,1
2025-07-28,New Babe+,Black Sanctum,4
2025-07-29,New Babe+,Underburg,2
2025-07-30,New Babe+,Hidden Kingdom,5
2025-07-31,Main Babe,Blue Ruin,1
2025-08-01,Ghost of the Babe,The Hole,3
2025-08-02,New Babe+,Imp Room,2
2025-08-03,New Babe+,Imp Room,1
2025-08-04,Ghost of the Babe,Moulding Manor,1
2025-08-05,Main Babe,The Tower,3
2025-08-06,Main Babe,Bargainburg,1
2025-08-07,Ghost of the Babe,Halted Ruin,5
2025-08-08,New Babe+,Dark Tower,3
2025-08-09,Main Babe,Redcrown Woods,4
2025-08-10,New Babe+,Underburg,4
2025-08-11,Main Babe,Stormwall Pass,5
2025-08-12,Main Babe,Windswept Bluff,1
2025-08-13,Main Babe,Colossal Drain,5
2025-08-14,Ghost of the Babe,Philosophers Forest,4
2025-08-15,Main Babe,Redcrown Woods,3
2025-08-16,New Babe+,Lost Frontier,7
2025-08-17,New Babe+,Dark Tower,4
2025-08-18,New Babe+,Underburg,2
2025-08-19,,,
2025-08-20,,,
2025-08-21,,,
2025-08-22,,,
2025-08-23,,,
2025-08-24,,,
2025-08-25,,,
2025-08-26,,,
2025-08-27,,,
2025-08-28,,,
2025-08-29,,,
2025-08-30,,,
2025-08-31,,,
2025-09-01,,,
2025-09-02,,,
2025-09-03,,,
2025-09-04,,,
2025-09-05,,,
2025-09-06,,,
2025-09-07,,,
2025-09-08,,,
2025-09-09,,,
2025-09-10,,,
2025-09-11,,,
2025-09-12,,,
2025-09-13,,,
2025-09-14,,,
2025-09-15,,,
2025-09-16,,,
2025-09-17,,,
2025-09-18,,,
2025-09-19,,,
2025-09-20,,,
2025-09-21,,,
2025-09-22,,,
2025-09-23,,,
2025-09-24,,,
2025-09-25,,,
2025-09-26,,,
2025-09-27,,,
2025-09-28,,,
2025-09-29,,,
2025-09-30,,,
2025-10-01,,,
2025-10-02,,,
2025-10-03,,,
2025-10-04,,,
2025-10-05,,,
2025-10-06,,,
2025-10-07,,,
2025-10-08,,,
2025-10-09,,,
2025-10-10,,,
2025-10-11,,,
2025-10-12,,,
2025-10-13,,,
2025-10-14,,,
2025-10-15,,,
2025-10-16,,,
2025-10-17,,,
2025-10-18,,,
2025-10-19,,,
2025-10-20,,,
2025-10-21,,,
2025-10-22,,,
2025-10-23,,,
2025-10-24,,,
2025-10-25,,,
2025-10-26,,,
